timestamp,state,wp_idx,heading_deg,target_heading_deg,rel_alt,vfr_alt,fwd_pwm,yaw_pwm,duration_left,zed_x,zed_y,zed_yaw_deg,cube_ax,cube_ay,cube_az,cube_gx,cube_gy,cube_gz,zed_ax,zed_ay,zed_az,zed_gx,zed_gy,zed_gz,ekf_x,ekf_y,ekf_z,ekf_yaw_deg,zed_fps,zed_diag
1787113670.125,ARMING,0,338.00,21.61,-0.08,-0.23,1500,1500,0.00,4.315,-3.674,-86.55,0.235,-1.746,9.640,-0.000,0.000,-0.000,-9.635,-1.801,0.343,0.001,0.001,0.001,0.000,0.000,0.000,0.00,1.0,OK
1787113670.174,DIVING,0,338.00,21.61,-0.08,-0.23,1500,1500,0.00,4.314,-3.670,-86.50,0.235,-1.746,9.640,-0.000,0.000,-0.000,-9.616,-1.817,0.317,-0.002,0.002,-0.001,0.000,0.000,0.000,0.00,1.0,OK
1787113670.224,DIVING,0,338.00,21.61,-0.08,-0.23,1500,1500,0.00,4.309,-3.681,-86.40,0.235,-1.746,9.640,-0.000,0.000,-0.000,-9.625,-1.793,0.331,0.001,0.001,-0.002,0.000,0.000,0.000,0.00,1.0,OK
1787113670.274,DIVING,0,338.00,21.61,-0.08,-0.23,1500,1500,0.00,4.306,-3.708,-86.22,0.235,-1.746,9.640,-0.000,0.000,-0.000,-9.628,-1.805,0.310,0.003,-0.001,-0.002,0.000,0.000,0.000,0.00,1.0,OK
1787113670.324,DIVING,0,338.00,21.61,-0.08,-0.23,1500,1500,0.00,4.306,-3.708,-86.22,0.235,-1.746,9.640,-0.000,0.000,-0.000,-9.632,-1.815,0.322,-0.001,0.001,0.001,0.000,0.000,0.000,0.00,14.3,OK
1787113670.375,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.303,-3.758,-86.26,0.235,-1.746,9.640,0.000,-0.000,-0.001,-9.616,-1.820,0.326,0.001,0.001,0.003,0.000,0.000,0.000,0.00,14.3,OK
1787113670.424,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.304,-3.795,-86.38,0.235,-1.746,9.640,0.000,-0.000,-0.001,-9.637,-1.829,0.324,-0.001,-0.002,-0.001,0.000,0.000,0.000,0.00,14.3,OK
1787113670.474,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.304,-3.835,-86.47,0.235,-1.746,9.640,0.000,-0.000,-0.001,-9.628,-1.813,0.324,-0.001,0.001,0.001,0.000,0.000,0.000,0.00,14.3,OK
1787113670.524,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.304,-3.835,-86.47,0.235,-1.746,9.640,0.000,-0.000,-0.001,-9.625,-1.813,0.334,0.001,0.001,-0.000,0.000,0.000,0.000,0.00,14.3,OK
1787113670.575,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.301,-3.877,-86.39,0.235,-1.746,9.640,0.000,-0.000,-0.001,-9.628,-1.820,0.319,-0.001,0.001,-0.000,0.000,0.000,0.000,0.00,14.3,OK
1787113670.624,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.293,-3.921,-86.15,0.235,-1.746,9.640,-0.000,-0.000,0.000,-9.635,-1.817,0.327,0.001,-0.000,-0.003,0.000,0.000,0.000,0.00,14.3,OK
1787113670.674,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.282,-3.966,-85.76,0.235,-1.746,9.640,-0.000,-0.000,0.000,-9.611,-1.812,0.322,-0.001,0.001,-0.002,0.000,0.000,0.000,0.00,14.3,OK
1787113670.724,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.282,-3.966,-85.76,0.235,-1.746,9.640,-0.000,-0.000,0.000,-9.625,-1.824,0.324,-0.001,0.002,0.001,0.000,0.000,0.000,0.00,14.3,OK
1787113670.774,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.280,-3.967,-85.66,0.235,-1.746,9.640,-0.000,-0.000,0.000,-9.599,-1.807,0.327,0.002,0.005,-0.002,0.000,0.000,0.000,0.00,14.3,OK
1787113670.824,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.277,-3.971,-85.53,0.235,-1.746,9.640,-0.000,-0.000,0.000,-9.637,-1.595,0.343,0.002,-0.006,0.032,0.000,0.000,0.000,0.00,14.3,OK
1787113670.874,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.271,-3.995,-85.43,0.235,-1.746,9.640,0.063,-0.003,0.004,-9.699,-1.572,0.314,-0.007,-0.008,0.085,0.000,0.000,0.000,0.00,14.3,OK
1787113670.924,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.271,-3.995,-85.43,0.235,-1.746,9.640,0.063,-0.003,0.004,-9.518,-1.321,0.313,-0.006,-0.016,0.231,0.000,0.000,0.000,0.00,14.3,OK
1787113670.974,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.278,-3.991,-85.71,0.235,-1.746,9.640,0.063,-0.003,0.004,-9.721,-2.225,0.424,-0.040,-0.036,0.593,0.000,0.000,0.000,0.00,14.3,OK
1787113671.025,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.282,-4.013,-85.63,0.235,-1.746,9.640,0.063,-0.003,0.004,-9.952,-1.183,0.345,-0.040,-0.036,0.819,0.000,0.000,0.000,0.00,14.3,OK
1787113671.074,DIVING,0,338.00,21.61,-0.09,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.746,9.640,0.063,-0.003,0.004,-9.873,-0.866,0.357,-0.043,-0.038,0.916,0.000,0.000,0.000,0.00,14.3,OK
1787113671.124,DIVING,0,338.00,21.61,-0.10,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.834,9.522,0.892,-0.035,0.059,-9.780,-0.513,0.396,-0.042,-0.041,0.881,0.000,0.000,0.000,0.00,14.3,OK
1787113671.174,DIVING,0,338.00,21.61,-0.10,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.834,9.522,0.892,-0.035,0.059,-9.270,0.144,0.461,-0.035,-0.052,0.628,0.000,0.000,0.000,0.00,14.3,OK
1787113671.224,DIVING,0,338.00,21.61,-0.10,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.834,9.522,0.892,-0.035,0.059,-9.425,0.434,0.516,-0.025,-0.043,0.403,0.000,0.000,0.000,0.00,14.3,OK
1787113671.274,DIVING,0,338.00,21.61,-0.10,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.834,9.522,0.892,-0.035,0.059,-9.690,0.768,0.470,-0.027,-0.034,0.272,0.000,0.000,0.000,0.00,14.3,OK
1787113671.324,DIVING,0,338.00,21.61,-0.10,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.235,-1.834,9.522,0.892,-0.035,0.059,-9.690,0.767,0.561,-0.030,-0.025,0.217,0.000,0.000,0.000,0.00,15.0,OK
1787113671.374,DIVING,0,337.00,21.61,-0.11,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.265,-0.490,9.718,0.178,-0.018,0.029,-9.618,0.761,0.492,-0.026,-0.015,0.143,0.000,0.000,0.000,0.00,15.0,OK
1787113671.424,DIVING,0,337.00,21.61,-0.11,-0.23,1500,1500,0.00,4.283,-4.013,-85.53,0.265,-0.490,9.718,0.178,-0.018,0.029,-9.721,0.753,0.587,-0.026,-0.000,0.062,0.000,0.000,0.000,0.00,15.0,OK
1787113671.474,DIVING,0,337.00,21.61,-0.11,-0.23,1500,1500,0.00,4.280,-4.013,-85.10,0.265,-0.490,9.718,0.178,-0.018,0.029,-9.599,0.711,0.544,-0.035,0.010,-0.003,0.000,0.000,0.000,0.00,15.0,OK
1787113671.524,DIVING,0,337.00,21.61,-0.11,-0.23,1500,1500,0.00,4.280,-4.013,-85.10,0.265,-0.490,9.718,0.178,-0.018,0.029,-9.723,0.621,0.518,-0.041,0.021,-0.080,0.000,0.000,0.000,0.00,15.0,OK
1787113671.574,DIVING,0,337.00,21.61,-0.11,-0.23,1500,1500,0.00,4.280,-4.013,-85.10,0.265,-0.490,9.718,0.178,-0.018,0.029,-9.685,0.717,0.496,-0.046,0.022,-0.097,0.000,0.000,0.000,0.00,15.0,OK
1787113671.624,DIVING,0,337.00,21.61,-0.12,-0.23,1500,1500,0.00,4.191,-4.043,-80.40,0.490,0.873,9.797,-0.124,0.030,0.048,-9.792,0.553,0.498,-0.049,0.032,-0.128,0.000,0.000,0.000,0.00,15.0,OK
1787113671.675,DIVING,0,337.00,21.61,-0.12,-0.23,1500,1500,0.00,4.191,-4.043,-80.40,0.490,0.873,9.797,-0.124,0.030,0.048,-9.814,0.450,0.443,-0.041,0.041,-0.157,0.000,0.000,0.000,0.00,15.0,OK
1787113671.724,DIVING,0,337.00,21.61,-0.12,-0.23,1500,1500,0.00,4.191,-4.043,-80.40,0.490,0.873,9.797,-0.124,0.030,0.048,-9.711,0.318,0.475,-0.033,0.043,-0.152,0.000,0.000,0.000,0.00,15.0,OK
1787113671.775,DIVING,0,337.00,21.61,-0.12,-0.23,1500,1500,0.00,4.178,-4.049,-80.40,0.490,0.873,9.797,-0.124,0.030,0.048,-9.995,0.280,0.448,-0.023,0.040,-0.124,0.000,0.000,0.000,0.00,15.0,OK
1787113671.824,DIVING,0,337.00,21.61,-0.12,-0.23,1500,1500,0.00,4.180,-4.068,-80.89,0.490,0.873,9.797,-0.124,0.030,0.048,-9.926,0.324,0.400,-0.015,0.034,-0.084,0.000,0.000,0.000,0.00,15.0,OK
1787113671.874,DIVING,0,336.00,21.61,-0.14,-0.23,1500,1500,0.00,4.176,-4.114,-81.13,0.412,0.706,9.767,-0.041,0.019,0.009,-10.029,0.366,0.376,-0.006,0.011,-0.033,0.000,0.000,0.000,0.00,15.0,OK
1787113671.924,DIVING,0,336.00,21.61,-0.14,-0.23,1500,1500,0.00,4.176,-4.114,-81.13,0.412,0.706,9.767,-0.041,0.019,0.009,-9.936,0.351,0.362,0.001,0.004,0.021,0.000,0.000,0.000,0.00,15.0,OK
1787113671.974,DIVING,0,336.00,21.61,-0.14,-0.23,1500,1500,0.00,4.178,-4.179,-81.42,0.412,0.706,9.767,-0.041,0.019,0.009,-9.955,0.429,0.398,0.003,-0.010,0.062,0.000,0.000,0.000,0.00,15.0,OK
1787113672.024,DIVING,0,336.00,21.61,-0.14,-0.23,1500,1500,0.00,4.181,-4.247,-81.45,0.412,0.706,9.767,-0.041,0.019,0.009,-9.993,0.462,0.395,0.001,-0.028,0.067,0.000,0.000,0.000,0.00,15.0,OK
1787113672.074,DIVING,0,336.00,21.61,-0.14,-0.23,1500,1500,0.00,4.189,-4.323,-81.48,0.412,0.706,9.767,-0.041,0.019,0.009,-9.876,0.469,0.438,0.004,-0.041,0.095,0.000,0.000,0.000,0.00,15.0,OK
1787113672.124,DIVING,0,336.00,21.61,-0.15,-0.23,1500,1500,0.00,4.189,-4.323,-81.48,0.275,0.481,9.826,0.087,-0.051,-0.009,-9.926,0.504,0.467,0.016,-0.062,0.079,0.000,0.000,0.000,0.00,15.0,OK
