Time(s),State,RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787043060.12,STARTING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787043060.22,STARTING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787043060.32,STARTING,-0.07,104.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787043060.42,STARTING,-0.07,104.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787043060.52,STARTING,-0.07,104.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787043060.62,STARTING,-0.07,103.68,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.28,-0.84,9.75
1787043060.72,STARTING,-0.07,103.68,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.28,-0.84,9.75
1787043060.82,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043060.92,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.02,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.12,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.22,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.32,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.42,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.52,STARTING,-0.07,103.54,-0.31,0.09,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.62,STARTING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.72,STARTING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.82,STARTING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043061.92,STARTING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.02,STARTING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.12,ARMING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.22,ARMING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.32,ARMING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.42,ARMING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.52,ARMING,-0.07,103.54,-0.31,0.07,-0.07,0.00,0.00,0.00,-0.27,-0.77,9.78
1787043062.62,ARMING,-0.08,100.64,-0.34,0.06,-0.07,0.00,0.00,0.00,-0.24,-0.81,9.77
1787043062.72,ARMING,-0.08,100.64,-0.34,0.06,-0.07,0.00,0.00,0.00,-0.24,-0.81,9.77
1787043062.82,ARMING,-0.08,100.64,-0.34,0.06,-0.07,0.00,0.00,0.00,-0.24,-0.81,9.77
1787043062.92,ARMING,-0.08,100.64,-0.34,0.06,-0.07,0.04,0.01,0.01,-0.24,-0.81,9.77
1787043063.02,ARMING,-0.08,100.64,-0.34,0.06,-0.07,0.03,0.01,0.01,-0.24,-0.81,9.77
