Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035536.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035536.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035536.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035537.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787035538.64,0.00,318.96,0.00,0.00,0.00,0.00,0.00,0.00,-0.72,-0.22,9.84
1787035538.74,0.00,318.96,0.00,0.00,0.00,0.00,0.00,0.00,-0.72,-0.22,9.84
1787035538.84,-0.00,319.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,9.82
1787035538.94,-0.00,319.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,9.82
1787035539.04,-0.00,319.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,9.82
1787035539.14,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.24,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.34,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.44,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.54,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.64,-0.00,317.49,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.77,9.70
1787035539.74,-0.00,316.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,-0.68,9.80
1787035539.84,-0.00,316.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,-0.68,9.80
1787035539.94,-0.00,316.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,-0.68,9.80
1787035540.04,-0.00,316.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,-0.68,9.80
1787035540.14,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.83,9.78
1787035540.24,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.83,9.78
1787035540.34,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.83,9.78
1787035540.44,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.83,9.78
1787035540.54,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.83,9.78
1787035540.64,-0.00,316.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,-0.68,9.85
1787035540.74,-0.00,313.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,-0.68,9.94
1787035540.84,-0.01,312.10,0.00,0.00,0.00,0.04,0.11,0.01,-0.33,-0.69,9.62
1787035540.94,-0.01,347.27,0.19,-0.25,0.01,0.02,0.10,0.02,-0.70,-0.46,9.90
1787035541.05,-0.01,347.27,0.19,-0.25,0.01,0.01,0.10,0.03,-0.70,-0.46,9.90
1787035541.14,-0.00,356.20,0.19,-0.25,0.01,-0.02,0.09,0.04,-0.69,-0.48,9.81
1787035541.24,-0.00,356.20,0.19,-0.25,0.01,-0.03,0.09,0.04,-0.69,-0.48,9.81
1787035541.34,-0.00,356.20,0.19,-0.25,0.01,-0.04,0.08,0.05,-0.69,-0.48,9.81
1787035541.44,-0.01,358.16,-0.49,-0.36,-0.01,-0.05,0.06,0.04,-0.30,-0.80,9.79
1787035541.54,-0.01,358.16,-0.49,-0.36,-0.01,-0.06,0.05,0.04,-0.30,-0.80,9.79
1787035541.64,-0.01,358.16,-0.49,-0.36,-0.01,-0.07,0.05,0.04,-0.30,-0.80,9.79
