t_sec,x_m,y_m,z_m,yaw_deg,dist_from_origin_m
0.000,0.0000,0.0000,0.0000,-0.01,0.0000
0.033,0.0000,0.0000,0.0000,-0.01,0.0000
0.067,0.0000,0.0000,0.0000,-0.01,0.0000
0.100,0.0000,0.0000,0.0000,-0.01,0.0000
0.133,0.0000,0.0000,0.0000,-0.01,0.0000
0.167,0.0000,0.0000,0.0000,-0.01,0.0000
0.200,0.0000,0.0000,0.0000,-0.01,0.0000
0.233,0.0000,0.0000,0.0000,-0.01,0.0000
0.267,0.0000,0.0000,0.0000,-0.01,0.0000
0.300,0.0000,0.0000,0.0000,-0.01,0.0000
0.333,0.0000,0.0000,0.0000,-0.01,0.0000
0.367,0.0000,0.0000,0.0000,-0.01,0.0000
0.400,0.0000,0.0000,0.0000,-0.01,0.0000
0.433,0.0000,0.0000,0.0000,-0.01,0.0000
0.467,0.0000,0.0000,0.0000,-0.01,0.0000
0.500,0.0000,0.0000,0.0000,-0.01,0.0000
0.533,0.0000,0.0000,0.0000,-0.01,0.0000
0.567,0.0000,0.0000,0.0000,-0.01,0.0000
0.600,0.0000,0.0000,0.0000,-0.01,0.0000
0.633,0.0000,0.0000,0.0000,-0.01,0.0000
0.667,0.0000,0.0000,0.0000,-0.01,0.0000
0.700,0.0000,0.0000,0.0000,-0.01,0.0000
0.733,0.0000,0.0000,0.0000,-0.01,0.0000
0.767,0.0000,0.0000,0.0000,-0.01,0.0000
0.800,0.0000,0.0000,0.0000,-0.01,0.0000
0.833,0.0000,0.0000,0.0000,-0.01,0.0000
0.867,0.0000,0.0000,0.0000,-0.01,0.0000
0.900,0.0000,0.0000,0.0000,-0.01,0.0000
0.933,0.0000,0.0000,0.0000,-0.01,0.0000
0.967,0.0000,0.0000,0.0000,-0.01,0.0000
1.000,0.0000,0.0000,0.0000,-0.01,0.0000
1.033,0.0000,0.0000,0.0000,-0.01,0.0000
1.067,0.0000,0.0000,0.0000,-0.01,0.0000
1.100,0.0000,0.0000,0.0000,-0.01,0.0000
1.133,0.0000,0.0000,0.0000,-0.01,0.0000
1.167,0.0000,0.0000,0.0000,-0.01,0.0000
1.200,0.0000,0.0000,0.0000,-0.01,0.0000
1.233,0.0000,0.0000,0.0000,-0.01,0.0000
1.267,0.0000,0.0000,0.0000,-0.01,0.0000
1.300,0.0000,0.0000,0.0000,-0.01,0.0000
1.333,0.0000,0.0000,0.0000,-0.01,0.0000
1.367,0.0000,0.0000,0.0000,-0.01,0.0000
1.400,0.0000,0.0000,0.0000,-0.01,0.0000
1.433,0.0000,0.0000,0.0000,-0.01,0.0000
1.467,0.0000,0.0000,0.0000,-0.01,0.0000
1.500,0.0000,0.0000,0.0000,-0.01,0.0000
1.533,0.0000,0.0000,0.0000,-0.01,0.0000
1.567,0.0000,0.0000,0.0000,-0.01,0.0000
1.600,0.0000,0.0000,0.0000,-0.01,0.0000
1.633,0.0000,0.0000,0.0000,-0.01,0.0000
1.667,0.0000,0.0000,0.0000,-0.01,0.0000
1.700,0.0000,0.0000,0.0000,-0.01,0.0000
1.733,0.0000,0.0000,0.0000,-0.01,0.0000
1.767,0.0000,0.0000,0.0000,-0.01,0.0000
1.800,0.0000,0.0000,0.0000,-0.01,0.0000
1.833,0.0000,0.0000,0.0000,-0.01,0.0000
1.867,0.0000,0.0000,0.0000,-0.01,0.0000
1.900,0.0000,0.0000,0.0000,-0.01,0.0000
1.933,0.0000,0.0000,0.0000,-0.01,0.0000
1.967,0.0000,0.0000,0.0000,-0.01,0.0000
2.000,0.0000,0.0000,0.0000,-0.01,0.0000
2.033,0.0000,0.0000,0.0000,-0.01,0.0000
2.067,0.0000,0.0000,0.0000,-0.01,0.0000
2.100,0.0000,0.0000,0.0000,-0.01,0.0000
2.133,0.0000,0.0000,0.0000,-0.01,0.0000
2.167,0.0000,0.0000,0.0000,-0.01,0.0000
2.200,0.0000,0.0000,0.0000,-0.01,0.0000
2.233,0.0000,0.0000,0.0000,-0.01,0.0000
2.267,0.0000,0.0000,0.0000,-0.01,0.0000
2.300,0.0000,0.0000,0.0000,-0.01,0.0000
2.333,0.0000,0.0000,0.0000,-0.01,0.0000
2.367,0.0000,0.0000,0.0000,-0.01,0.0000
2.400,0.0000,0.0000,0.0000,-0.01,0.0000
2.433,0.0000,0.0000,0.0000,-0.01,0.0000
2.467,0.0000,0.0000,0.0000,-0.01,0.0000
2.500,0.0000,0.0000,0.0000,-0.01,0.0000
2.533,0.0000,0.0000,0.0000,-0.01,0.0000
2.567,0.0000,0.0000,0.0000,-0.01,0.0000
2.600,0.0000,0.0000,0.0000,-0.01,0.0000
2.633,0.0000,0.0000,0.0000,-0.01,0.0000
2.667,0.0000,0.0000,0.0000,-0.01,0.0000
2.700,0.0000,0.0000,0.0000,-0.01,0.0000
2.733,0.0000,0.0000,0.0000,-0.01,0.0000
2.767,0.0000,0.0000,0.0000,-0.01,0.0000
2.800,0.0000,0.0000,0.0000,-0.01,0.0000
2.833,0.0000,0.0000,0.0000,-0.01,0.0000
2.867,0.0000,0.0000,0.0000,-0.01,0.0000
2.900,0.0000,0.0000,0.0000,-0.01,0.0000
2.934,0.0000,0.0000,0.0000,-0.01,0.0000
2.967,0.0000,0.0000,0.0000,-0.01,0.0000
3.000,0.0000,0.0000,0.0000,-0.01,0.0000
3.034,0.0000,0.0000,0.0000,-0.01,0.0000
3.067,0.0000,0.0000,0.0000,-0.01,0.0000
3.100,0.0000,0.0000,0.0000,-0.01,0.0000
3.134,0.0000,0.0000,0.0000,-0.01,0.0000
3.167,0.0000,0.0000,0.0000,-0.01,0.0000
3.200,0.0000,0.0000,0.0000,-0.01,0.0000
3.234,0.0000,0.0000,0.0000,-0.01,0.0000
3.267,0.0000,0.0000,0.0000,-0.01,0.0000
3.300,0.0000,0.0000,0.0000,-0.01,0.0000
3.334,0.0000,0.0000,0.0000,-0.01,0.0000
3.367,0.0000,0.0000,0.0000,-0.01,0.0000
3.400,0.0000,0.0000,0.0000,-0.01,0.0000
3.434,0.0000,0.0000,0.0000,-0.01,0.0000
3.467,0.0000,0.0000,0.0000,-0.01,0.0000
3.500,0.0000,0.0000,0.0000,-0.01,0.0000
3.534,0.0000,0.0000,0.0000,-0.01,0.0000
3.567,0.0000,0.0000,0.0000,-0.01,0.0000
3.600,0.0000,0.0000,0.0000,-0.01,0.0000
3.634,0.0000,0.0000,0.0000,-0.01,0.0000
3.667,0.0000,0.0000,0.0000,-0.01,0.0000
3.700,0.0000,0.0000,0.0000,-0.01,0.0000
3.734,0.0000,0.0000,0.0000,-0.01,0.0000
3.767,0.0000,0.0000,0.0000,-0.01,0.0000
3.800,0.0000,0.0000,0.0000,-0.01,0.0000
3.834,0.0000,0.0000,0.0000,-0.01,0.0000
3.867,0.0000,0.0000,0.0000,-0.01,0.0000
3.900,0.0000,0.0000,0.0000,-0.01,0.0000
3.934,0.0000,0.0000,0.0000,-0.01,0.0000
3.967,0.0000,0.0000,0.0000,-0.01,0.0000
4.000,0.0000,0.0000,0.0000,-0.01,0.0000
4.034,0.0000,0.0000,0.0000,-0.01,0.0000
4.067,0.0000,0.0000,0.0000,-0.01,0.0000
4.100,0.0000,0.0000,0.0000,-0.01,0.0000
4.167,0.0000,0.0000,0.0000,-0.01,0.0000
4.200,0.0000,0.0000,0.0000,-0.01,0.0000
4.234,0.0000,0.0000,0.0000,-0.01,0.0000
4.267,0.0000,0.0000,0.0000,-0.01,0.0000
4.300,0.0000,0.0000,0.0000,-0.01,0.0000
4.334,0.0000,0.0000,0.0000,-0.01,0.0000
4.367,0.0000,0.0000,0.0000,-0.01,0.0000
4.400,0.0000,0.0000,0.0000,-0.01,0.0000
4.434,0.0000,0.0000,0.0000,-0.01,0.0000
4.467,0.0000,0.0000,0.0000,-0.01,0.0000
4.500,0.0000,0.0000,0.0000,-0.01,0.0000
4.534,0.0000,0.0000,0.0000,-0.01,0.0000
4.567,0.0000,0.0000,0.0000,-0.01,0.0000
4.600,0.0000,0.0000,0.0000,-0.01,0.0000
4.634,0.0000,0.0000,0.0000,-0.01,0.0000
4.667,0.0000,0.0000,0.0000,-0.01,0.0000
4.700,0.0000,0.0000,0.0000,-0.01,0.0000
4.734,0.0000,0.0000,0.0000,-0.01,0.0000
4.767,0.0000,0.0000,0.0000,-0.01,0.0000
4.800,0.0000,0.0000,0.0000,-0.01,0.0000
4.834,0.0000,0.0000,0.0000,-0.01,0.0000
4.867,0.0000,0.0000,0.0000,-0.01,0.0000
4.900,0.0000,0.0000,0.0000,-0.01,0.0000
4.934,0.0000,0.0000,0.0000,-0.01,0.0000
4.967,0.0000,0.0000,0.0000,-0.01,0.0000
5.000,0.0000,0.0000,0.0000,-0.01,0.0000
5.034,0.0000,0.0000,0.0000,-0.01,0.0000
5.067,0.0000,0.0000,0.0000,-0.01,0.0000
5.100,0.0000,0.0000,0.0000,-0.01,0.0000
5.134,0.0000,0.0000,0.0000,-0.01,0.0000
5.167,0.0000,0.0000,0.0000,-0.01,0.0000
5.200,0.0000,0.0000,0.0000,-0.01,0.0000
5.234,0.0000,0.0000,0.0000,-0.01,0.0000
5.267,0.0000,0.0000,0.0000,-0.01,0.0000
5.300,0.0000,0.0000,0.0000,-0.01,0.0000
5.334,0.0000,0.0000,0.0000,-0.01,0.0000
5.367,0.0000,0.0000,0.0000,-0.01,0.0000
5.400,0.0000,0.0000,0.0000,-0.01,0.0000
5.434,0.0000,0.0000,0.0000,-0.01,0.0000
5.467,0.0000,0.0000,0.0000,-0.01,0.0000
5.500,0.0000,0.0000,0.0000,-0.01,0.0000
5.534,0.0000,0.0000,0.0000,-0.01,0.0000
5.567,0.0000,0.0000,0.0000,-0.01,0.0000
5.600,0.0000,0.0000,0.0000,-0.01,0.0000
5.634,0.0000,0.0000,0.0000,-0.01,0.0000
5.667,0.0000,0.0000,0.0000,-0.01,0.0000
5.700,0.0000,0.0000,0.0000,-0.01,0.0000
5.734,0.0000,0.0000,0.0000,-0.01,0.0000
5.767,0.0000,0.0000,0.0000,-0.01,0.0000
5.801,0.0000,0.0000,0.0000,-0.01,0.0000
5.834,0.0000,0.0000,0.0000,-0.01,0.0000
5.867,0.0000,0.0000,0.0000,-0.01,0.0000
5.901,0.0000,0.0000,0.0000,-0.01,0.0000
5.934,0.0000,0.0000,0.0000,-0.01,0.0000
5.967,0.0000,0.0000,0.0000,-0.01,0.0000
6.001,0.0000,0.0000,0.0000,-0.01,0.0000
6.034,0.0000,0.0000,0.0000,-0.01,0.0000
6.067,0.0000,0.0000,0.0000,-0.01,0.0000
6.101,0.0000,0.0000,0.0000,-0.01,0.0000
6.134,0.0000,0.0000,0.0000,-0.01,0.0000
6.167,0.0000,0.0000,0.0000,-0.01,0.0000
6.201,0.0000,0.0000,0.0000,-0.01,0.0000
6.234,0.0000,0.0000,0.0000,-0.01,0.0000
6.267,0.0000,0.0000,0.0000,-0.01,0.0000
6.301,0.0000,0.0000,0.0000,-0.01,0.0000
6.334,0.0000,0.0000,0.0000,-0.01,0.0000
6.367,0.0000,0.0000,0.0000,-0.01,0.0000
6.401,0.0000,0.0000,0.0000,-0.01,0.0000
6.434,0.0000,0.0000,0.0000,-0.01,0.0000
6.467,0.0000,0.0000,0.0000,-0.01,0.0000
6.501,0.0000,0.0000,0.0000,-0.01,0.0000
6.534,0.0000,0.0000,0.0000,-0.01,0.0000
6.567,0.0000,0.0000,0.0000,-0.01,0.0000
6.601,0.0000,0.0000,0.0000,-0.01,0.0000
6.634,0.0000,0.0000,0.0000,-0.01,0.0000
6.667,0.0000,0.0000,0.0000,-0.01,0.0000
6.701,0.0000,0.0000,0.0000,-0.01,0.0000
6.734,0.0000,0.0000,0.0000,-0.01,0.0000
6.767,0.0000,0.0000,0.0000,-0.01,0.0000
6.801,0.0000,0.0000,0.0000,-0.01,0.0000
6.834,0.0000,0.0000,0.0000,-0.01,0.0000
6.867,0.0000,0.0000,0.0000,-0.01,0.0000
6.901,0.0000,0.0000,0.0000,-0.01,0.0000
6.934,0.0000,0.0000,0.0000,-0.01,0.0000
6.967,0.0000,0.0000,0.0000,-0.01,0.0000
7.001,0.0000,0.0000,0.0000,-0.01,0.0000
7.034,0.0000,0.0000,0.0000,-0.01,0.0000
7.067,0.0000,0.0000,0.0000,-0.01,0.0000
7.101,0.0000,0.0000,0.0000,-0.01,0.0000
7.134,0.0000,0.0000,0.0000,-0.01,0.0000
7.167,0.0000,0.0000,0.0000,-0.01,0.0000
7.201,0.0000,0.0000,0.0000,-0.01,0.0000
7.267,0.0000,0.0000,0.0000,-0.01,0.0000
7.301,0.0000,0.0000,0.0000,-0.01,0.0000
7.334,0.0000,0.0000,0.0000,-0.01,0.0000
7.367,0.0000,0.0000,0.0000,-0.01,0.0000
7.401,0.0000,0.0000,0.0000,-0.01,0.0000
7.434,0.0000,0.0000,0.0000,-0.01,0.0000
7.467,0.0000,0.0000,0.0000,-0.01,0.0000
7.501,0.0000,0.0000,0.0000,-0.01,0.0000
7.534,0.0000,0.0000,0.0000,-0.01,0.0000
7.567,0.0000,0.0000,0.0000,-0.01,0.0000
7.601,0.0000,0.0000,0.0000,-0.01,0.0000
7.634,0.0000,0.0000,0.0000,-0.01,0.0000
7.667,0.0000,0.0000,0.0000,-0.01,0.0000
7.701,0.0000,0.0000,0.0000,-0.01,0.0000
7.734,0.0000,0.0000,0.0000,-0.01,0.0000
7.767,0.0000,0.0000,0.0000,-0.01,0.0000
7.801,0.0000,0.0000,0.0000,-0.01,0.0000
7.834,0.0000,0.0000,0.0000,-0.01,0.0000
7.900,0.0000,0.0000,0.0000,-0.01,0.0000
7.934,0.0000,0.0000,0.0000,-0.01,0.0000
7.967,0.0000,0.0000,0.0000,-0.01,0.0000
8.001,0.0000,0.0000,0.0000,-0.01,0.0000
8.034,0.0000,0.0000,0.0000,-0.01,0.0000
8.067,0.0000,0.0000,0.0000,-0.01,0.0000
8.101,0.0000,0.0000,0.0000,-0.01,0.0000
8.134,0.0000,0.0000,0.0000,-0.01,0.0000
8.167,0.0000,0.0000,0.0000,-0.01,0.0000
8.201,0.0000,0.0000,0.0000,-0.01,0.0000
8.234,0.0000,0.0000,0.0000,-0.01,0.0000
8.267,0.0000,0.0000,0.0000,-0.01,0.0000
8.301,0.0000,0.0000,0.0000,-0.01,0.0000
8.334,0.0000,0.0000,0.0000,-0.01,0.0000
8.367,0.0000,0.0000,0.0000,-0.01,0.0000
8.400,0.0000,0.0000,0.0000,-0.01,0.0000
8.434,0.0000,0.0000,0.0000,-0.01,0.0000
8.467,0.0000,0.0000,0.0000,-0.01,0.0000
8.500,0.0000,0.0000,0.0000,-0.01,0.0000
8.534,0.0000,0.0000,0.0000,-0.01,0.0000
8.567,0.0000,0.0000,0.0000,-0.01,0.0000
8.600,0.0000,0.0000,0.0000,-0.01,0.0000
8.634,0.0000,0.0000,0.0000,-0.01,0.0000
8.667,0.0000,0.0000,0.0000,-0.01,0.0000
8.700,0.0000,0.0000,0.0000,-0.01,0.0000
8.734,0.0000,0.0000,0.0000,-0.01,0.0000
8.767,0.0000,0.0000,0.0000,-0.01,0.0000
8.800,0.0000,0.0000,0.0000,-0.01,0.0000
8.834,0.0000,0.0000,0.0000,-0.01,0.0000
8.867,0.0000,0.0000,0.0000,-0.01,0.0000
8.900,0.0000,0.0000,0.0000,-0.01,0.0000
8.934,0.0000,0.0000,0.0000,-0.01,0.0000
8.967,0.0000,0.0000,0.0000,-0.01,0.0000
9.000,0.0000,0.0000,0.0000,-0.01,0.0000
9.034,0.0000,0.0000,0.0000,-0.01,0.0000
9.067,0.0000,0.0000,0.0000,-0.01,0.0000
9.101,0.0000,0.0000,0.0000,-0.01,0.0000
9.134,0.0000,0.0000,0.0000,-0.01,0.0000
9.167,0.0000,0.0000,0.0000,-0.01,0.0000
9.201,0.0000,0.0000,0.0000,-0.01,0.0000
9.234,0.0000,0.0000,0.0000,-0.01,0.0000
9.267,0.0000,0.0000,0.0000,-0.01,0.0000
9.301,0.0000,0.0000,0.0000,-0.01,0.0000
9.334,0.0000,0.0000,0.0000,-0.01,0.0000
9.367,0.0000,0.0000,0.0000,-0.01,0.0000
9.401,0.0000,0.0000,0.0000,-0.01,0.0000
9.434,0.0000,0.0000,0.0000,-0.01,0.0000
9.467,0.0000,0.0000,0.0000,-0.01,0.0000
9.501,0.0000,0.0000,0.0000,-0.01,0.0000
9.534,0.0000,0.0000,0.0000,-0.01,0.0000
9.567,0.0000,0.0000,0.0000,-0.01,0.0000
9.601,0.0000,0.0000,0.0000,-0.01,0.0000
9.634,0.0000,0.0000,0.0000,-0.01,0.0000
9.667,0.0000,0.0000,0.0000,-0.01,0.0000
9.701,0.0000,0.0000,0.0000,-0.01,0.0000
9.734,0.0000,0.0000,0.0000,-0.01,0.0000
9.767,0.0000,0.0000,0.0000,-0.01,0.0000
9.801,0.0000,0.0000,0.0000,-0.01,0.0000
9.834,0.0000,0.0000,0.0000,-0.01,0.0000
9.867,0.0000,0.0000,0.0000,-0.01,0.0000
9.901,0.0000,0.0000,0.0000,-0.01,0.0000
9.934,0.0000,0.0000,0.0000,-0.01,0.0000
9.967,0.0000,0.0000,0.0000,-0.01,0.0000
10.001,0.0000,0.0000,0.0000,-0.01,0.0000
10.034,0.0000,0.0000,0.0000,-0.01,0.0000
10.067,0.0000,0.0000,0.0000,-0.01,0.0000
10.101,0.0000,0.0000,0.0000,-0.01,0.0000
10.134,0.0000,0.0000,0.0000,-0.01,0.0000
10.167,0.0000,0.0000,0.0000,-0.01,0.0000
10.201,0.0000,0.0000,0.0000,-0.01,0.0000
10.234,0.0000,0.0000,0.0000,-0.01,0.0000
10.267,0.0000,0.0000,0.0000,-0.01,0.0000
10.301,0.0000,0.0000,0.0000,-0.01,0.0000
10.334,0.0000,0.0000,0.0000,-0.01,0.0000
10.367,0.0000,0.0000,0.0000,-0.01,0.0000
10.401,0.0000,0.0000,0.0000,-0.01,0.0000
10.434,0.0000,0.0000,0.0000,-0.01,0.0000
10.467,0.0000,0.0000,0.0000,-0.01,0.0000
10.534,0.0000,0.0000,0.0000,-0.01,0.0000
10.567,0.0000,0.0000,0.0000,-0.01,0.0000
10.601,0.0000,0.0000,0.0000,-0.01,0.0000
10.634,0.0000,0.0000,0.0000,-0.01,0.0000
